,base.py,chemkin.py,model.py,model.py,poll.py,~,~,~,~,~,~,~,~,~,~,~
,1260,1659,234,1066,77,0,0,0,0,0,0,0,0,0,0,0
,isMoleculeForbidden,markDuplicateReaction,checkForExistingSpecies,removeSpeciesFromEdge,poll,<gc.collect>,<method 'copy' of 'rmgpy.molecule.molecule.Molecule' objects>,<method 'generateResonanceIsomers' of 'rmgpy.molecule.molecule.Molecule' objects>,<method 'generateResonanceIsomers' of 'rmgpy.species.Species' objects>,<method 'isCyclic' of 'rmgpy.molecule.graph.Graph' objects>,<method 'isIsomorphic' of 'rmgpy.molecule.molecule.Molecule' objects>,<method 'isIsomorphic' of 'rmgpy.species.Species' objects>,<method 'isSubgraphIsomorphic' of 'rmgpy.molecule.molecule.Molecule' objects>,<method 'simulate' of 'rmgpy.solver.base.ReactionSystem' objects>,<method 'split' of 'rmgpy.molecule.molecule.Molecule' objects>,<method 'update' of 'rmgpy.molecule.molecule.Molecule' objects>
,,,,,,,,,,,,,,,,
110,1591.582579,1382.9733,2278.564461,1105.292084,0.0,0.0,7420.688651,20232.166683,1715.070161,350.264626,5769.701085,1127.038316,5611.441707,0.0,3272.261045,1889.041016
111,1596.244985,1383.683222,2286.283576,1106.400785,0.0,0.0,7438.287793,20353.75409,1719.635721,351.336627,5843.544251,1132.30376,5633.135081,0.0,3284.420479,1895.496532
112,1607.019942,1387.547428,2297.41166,1108.016854,0.0,0.0,7463.857842,20487.97173,1727.954096,355.655178,5917.278492,1139.734762,5666.446888,0.0,3300.652869,1906.410022
113,1607.039208,1387.636009,2297.587468,1109.514777,0.0,0.0,7463.951741,20488.146433,1728.051125,355.69192,5917.285247,1139.792008,5666.610476,0.0,3300.703721,1906.437996
114,1607.062374,1387.714136,2297.752902,1111.572699,0.0,0.0,7464.057471,20488.331492,1728.14673,355.72973,5917.292369,1139.869711,5666.772889,0.0,3300.762626,1906.46982
115,1607.081582,1387.801232,2297.939147,1111.572699,0.0,0.0,7464.152391,20488.50533,1728.233132,355.77181,5917.297653,1139.912345,5666.919106,0.0,3300.814341,1906.497582
116,1609.451666,1388.478666,2300.167471,1124.158991,0.0,0.0,7469.542484,20500.674546,1729.474289,356.18651,5922.606993,1140.78451,5673.821267,0.0,3303.833729,1908.882585
117,1638.872953,1406.42191,2325.254833,1125.000624,0.0,0.0,7592.547665,20815.382323,1740.263562,369.272846,6034.131334,1149.590607,5759.229873,0.0,3344.2629,1937.061807
118,1653.017667,1415.103098,2342.363776,1127.686781,0.0,0.0,7651.916728,20964.635449,1749.098372,372.47171,6113.133776,1157.667564,5800.572159,0.0,3363.316744,1950.93418
119,1665.9514,1424.745679,2357.478583,1130.755604,0.0,0.0,7679.52768,21111.226169,1756.187131,375.196461,6186.893353,1166.753569,5837.265556,0.0,3380.212017,1963.326013
120,1681.560543,1432.781571,2375.002141,1154.166719,0.0,0.0,7713.686804,21295.449709,1765.146571,378.45328,6265.010121,1176.023021,5880.587093,0.0,3401.002701,1978.278408
121,1719.06788,1444.561721,2425.465823,1169.537261,0.0,0.0,7849.574256,21961.850467,1789.662723,391.849376,6503.550174,1194.284927,5986.195531,0.0,3447.922146,2017.216415
122,1727.814359,1453.158829,2435.258095,1184.747699,0.0,0.0,7862.428718,22009.31906,1794.119201,393.610905,6517.778713,1198.846033,6007.518622,0.0,3454.189891,2023.834685
123,1732.552624,1454.144121,2442.96796,1205.234964,0.0,0.0,7880.486004,22135.512645,1799.141675,394.750974,6593.779185,1205.275785,6027.856242,0.0,3466.462589,2030.37767
124,1737.005864,1455.041451,2450.088139,1227.044865,0.0,1470.523462,7897.682538,22258.867796,1803.62089,395.774585,6666.314679,1210.723634,6047.779296,0.0,3478.085312,2036.590864
