,base.py,chemkin.py,model.py,~,~,~,~,~,~,~,~,~,~
,1260,1659,234,0,0,0,0,0,0,0,0,0,0
,isMoleculeForbidden,markDuplicateReaction,checkForExistingSpecies,<gc.collect>,<method 'copy' of 'rmgpy.molecule.molecule.Molecule' objects>,<method 'generateResonanceIsomers' of 'rmgpy.molecule.molecule.Molecule' objects>,<method 'getLabeledAtoms' of 'rmgpy.molecule.molecule.Molecule' objects>,<method 'getSymmetryNumber' of 'rmgpy.molecule.molecule.Molecule' objects>,<method 'isIsomorphic' of 'rmgpy.molecule.molecule.Molecule' objects>,<method 'isSubgraphIsomorphic' of 'rmgpy.molecule.molecule.Molecule' objects>,<method 'simulate' of 'rmgpy.solver.base.ReactionSystem' objects>,<method 'split' of 'rmgpy.molecule.molecule.Molecule' objects>,<method 'update' of 'rmgpy.molecule.molecule.Molecule' objects>
,,,,,,,,,,,,,
138,2882.529854,1619.523546,2893.418762,0.0,13826.152393,45383.330843,3377.135583,18846.139994,13848.720203,15118.35808,0.0,6432.688683,3450.863352
139,2937.760638,1628.413546,2944.197708,0.0,14129.221579,46998.023174,3452.358724,19669.686535,14421.466158,15462.063432,0.0,6579.44604,3526.498236
140,2969.067968,1661.497388,2967.072878,0.0,14253.88151,47283.571109,3480.740878,19727.16309,14477.627638,15574.628236,0.0,6620.327538,3554.863546
141,2986.828312,1663.662766,2983.326992,0.0,14366.295348,47818.394491,3504.778125,19958.109742,14695.053552,15683.56054,0.0,6672.846387,3580.610578
142,3033.995025,1669.077277,3025.712622,0.0,14598.78171,49364.64544,3568.625966,20565.814499,15096.731647,15971.614441,0.0,6813.975701,3649.521567
143,3051.414358,1670.842148,3041.811418,0.0,14733.395155,49893.926175,3592.771713,20805.282178,15311.924927,16082.042938,0.0,6865.971222,3675.139365
144,3059.319134,1672.162674,3049.046362,0.0,14785.950328,50111.734064,3603.188716,20872.641034,15414.330044,16131.431823,0.0,6888.884689,3686.18513
145,3072.292401,1673.745814,3059.766621,0.0,14858.716794,50490.446024,3619.753496,20992.910726,15547.631904,16206.874803,0.0,6926.736017,3704.498318
146,3080.768327,1682.920831,3067.76138,0.0,14868.910128,50536.957898,3627.55337,21022.05056,15561.180287,16249.572462,0.0,6932.553206,3710.641231
147,3081.018627,1683.466009,3068.894054,0.0,14869.989077,50551.220888,3628.596296,21035.327129,15561.342878,16258.663417,0.0,6933.104877,3711.039824
148,3081.079191,1683.612637,3069.071122,0.0,14870.190846,50552.470577,3628.772128,21036.592898,15561.362831,16260.075115,0.0,6933.209431,3711.124326
149,3081.249261,1684.039498,3069.885966,0.0,14870.720228,50564.041405,3629.428702,21044.360918,15561.490474,16266.227669,0.0,6933.454594,3711.370962
